date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,surface_pressure_min,surface_pressure_max,relative_humidity_2m_min,relative_humidity_2m_max
2020-01-01,30.0,20.5,24.6,1.6,1.6,15.8,37.1,46,21.51,888.6,892.1,44,91
2020-01-02,31.4,18.5,24.5,0.0,0.0,8.7,22.7,326,28.94,887.5,892.4,37,95
2020-01-03,32.3,19.9,25.9,0.0,0.0,18.1,37.4,109,28.2,888.9,893.8,33,90
2020-01-04,31.5,19.4,24.8,0.3,0.3,13.8,34.9,57,28.06,888.8,894.0,39,86
2020-01-05,30.0,19.2,24.6,0.1,0.1,14.9,36.7,324,25.84,886.4,891.3,36,80
2020-01-06,32.7,18.3,25.6,0.8,0.8,17.0,38.5,88,26.25,885.6,890.8,27,89
2020-01-07,31.2,19.7,25.4,1.7,1.7,21.6,46.1,67,24.34,887.4,891.2,28,92
2020-01-08,30.3,21.6,24.9,0.0,0.0,17.0,43.6,42,22.6,887.9,890.9,36,64
2020-01-09,27.3,21.2,23.7,3.2,3.2,10.9,34.2,34,20.85,886.6,890.8,56,93
2020-01-10,28.8,19.5,22.2,15.0,15.0,14.4,35.6,92,18.71,888.0,892.8,54,96
2020-01-11,25.7,18.4,21.8,1.4,1.4,11.3,31.7,56,21.92,892.1,894.8,55,83
2020-01-12,29.4,16.6,23.0,2.9,2.9,8.1,24.1,80,27.5,889.6,894.1,44,97
2020-01-13,27.8,18.3,22.5,1.8,1.8,9.3,29.9,93,25.04,888.1,892.7,52,98
2020-01-14,26.8,16.6,21.9,0.2,0.2,10.3,24.8,97,26.42,888.6,892.5,47,95
2020-01-15,27.6,17.8,22.6,0.0,0.0,9.1,24.5,96,26.19,890.3,893.7,42,93
2020-01-16,29.7,17.1,23.3,0.0,0.0,10.9,25.2,104,32.03,889.6,893.5,28,92
2020-01-17,28.8,17.4,23.1,0.0,0.0,10.2,23.8,45,27.15,885.3,891.4,37,84
2020-01-18,23.7,19.4,21.0,11.3,11.3,10.3,24.8,170,11.13,884.0,887.1,72,98
2020-01-19,28.6,18.8,22.9,0.8,0.8,18.3,38.9,109,26.79,883.4,889.3,52,92
2020-01-20,26.9,17.1,22.0,0.1,0.1,16.5,36.4,89,22.14,888.8,891.9,47,77
2020-01-21,27.0,16.7,21.5,0.0,0.0,10.0,25.2,14,18.63,888.7,892.2,51,84
2020-01-22,29.8,16.9,23.1,0.1,0.1,13.5,33.5,306,24.13,885.6,890.8,34,94
2020-01-23,31.1,16.8,23.9,0.0,0.0,21.3,49.3,329,28.59,884.0,891.0,26,96
2020-01-24,26.6,18.1,21.7,1.1,1.1,19.7,44.3,38,21.93,890.2,894.0,57,89
2020-01-25,25.9,17.7,20.4,11.8,11.8,15.6,38.5,343,15.8,888.9,893.3,48,99
2020-01-26,29.5,15.0,22.7,0.0,0.0,16.1,44.6,288,28.4,887.1,892.0,39,97
2020-01-27,31.3,17.6,24.4,0.0,0.0,12.7,27.7,172,30.65,888.5,892.8,27,94
2020-01-28,27.3,17.2,21.4,0.3,0.3,14.1,34.9,323,21.81,889.6,894.2,37,84
2020-01-29,29.5,14.8,22.6,0.0,0.0,8.1,25.6,343,29.66,888.9,893.9,36,99
2020-01-30,30.0,19.0,24.6,0.3,0.3,14.8,35.3,60,25.36,890.1,895.7,34,83
2020-01-31,30.5,16.3,23.4,0.0,0.0,12.1,26.3,76,30.69,891.1,896.7,27,84
2020-02-01,32.8,16.2,24.7,0.0,0.0,10.8,30.6,132,28.05,890.6,894.9,28,78
2020-02-02,31.4,18.9,25.1,0.0,0.0,12.3,27.4,77,28.37,892.2,896.4,28,78
2020-02-03,30.2,17.0,23.8,0.0,0.0,14.7,29.9,75,29.52,891.3,897.0,30,83
2020-02-04,30.3,18.4,24.2,0.0,0.0,11.8,28.1,100,27.33,888.7,895.4,27,70
2020-02-05,31.9,19.0,25.5,0.0,0.0,9.2,28.8,63,27.1,887.5,893.1,25,74
2020-02-06,30.6,19.7,24.7,0.0,0.0,14.5,32.0,356,23.07,888.3,892.1,34,76
2020-02-07,31.2,19.4,24.3,10.3,10.3,19.4,50.8,56,26.87,888.8,893.1,35,98
2020-02-08,24.3,17.6,20.1,56.9,56.9,16.5,37.8,43,9.66,888.5,892.4,76,100
2020-02-09,27.9,16.5,22.0,0.1,0.1,12.9,25.9,65,22.06,887.9,891.1,48,99
2020-02-10,29.8,18.9,23.0,1.2,1.2,17.5,40.7,113,21.92,888.5,891.4,45,94
2020-02-11,27.9,17.2,21.6,0.0,0.0,17.2,40.3,116,25.7,890.3,893.2,45,82
2020-02-12,26.6,16.0,20.8,0.8,0.8,13.1,33.8,84,24.89,890.7,893.5,47,86
2020-02-13,27.2,15.5,21.6,0.9,0.9,9.0,27.0,302,23.85,888.6,893.2,47,98
2020-02-14,30.7,16.6,24.4,0.0,0.0,10.4,17.3,133,26.37,887.4,892.3,36,95
2020-02-15,31.0,18.9,24.8,0.0,0.0,14.3,29.9,66,28.09,890.0,894.1,32,90
2020-02-16,30.1,18.3,24.2,0.0,0.0,12.6,27.4,60,26.77,889.4,894.7,32,84
2020-02-17,30.6,17.2,24.2,0.0,0.0,9.3,28.1,140,24.76,888.0,893.2,37,91
2020-02-18,30.9,21.4,25.3,0.8,0.8,18.4,42.5,71,23.21,888.9,894.9,32,77
2020-02-19,30.2,20.4,25.0,0.5,0.5,18.0,37.8,65,24.01,890.6,895.1,36,74
2020-02-20,29.7,20.0,25.3,0.1,0.1,14.2,36.7,287,22.82,888.9,893.3,37,81
2020-02-21,31.4,19.7,25.0,0.9,0.9,11.7,28.4,156,23.14,888.3,892.7,38,84
2020-02-22,26.5,19.7,22.1,16.1,16.1,13.2,41.0,203,14.36,887.3,891.5,63,97
2020-02-23,26.8,18.5,22.1,11.8,11.8,19.5,42.5,106,16.84,886.8,892.6,55,98
2020-02-24,26.7,15.3,20.2,0.0,0.0,13.3,31.3,106,26.52,892.4,896.3,39,87
2020-02-25,26.5,14.5,19.6,0.0,0.0,10.2,19.8,5,20.42,889.3,894.9,39,97
2020-02-26,28.7,13.6,21.0,0.0,0.0,8.9,22.3,320,28.34,887.9,893.0,36,92
2020-02-27,29.7,16.0,23.0,0.0,0.0,13.0,29.2,255,27.82,886.9,891.8,31,93
2020-02-28,29.8,17.9,23.1,3.6,3.6,20.7,41.8,114,19.19,888.7,894.0,38,81
2020-02-29,24.0,16.4,20.0,0.7,0.7,16.4,37.8,87,14.58,893.3,896.6,50,77
2020-03-01,22.8,14.7,18.7,4.5,4.5,11.8,29.9,54,12.48,891.6,895.4,51,97
2020-03-02,20.6,16.5,17.5,16.2,16.2,13.5,29.5,312,8.42,890.4,893.3,75,99
2020-03-03,25.1,13.5,19.3,0.0,0.0,12.7,32.0,81,19.87,889.7,895.4,43,100
2020-03-04,27.6,14.5,20.5,0.0,0.0,10.7,28.8,100,24.18,893.2,898.0,32,95
2020-03-05,29.2,13.5,21.1,0.0,0.0,9.5,27.0,117,26.34,891.4,897.4,34,89
2020-03-06,28.1,15.3,21.9,0.0,0.0,13.4,27.4,102,27.51,892.7,897.0,26,80
2020-03-07,27.4,14.0,20.9,0.0,0.0,12.4,25.9,111,27.17,892.2,897.7,29,85
2020-03-08,29.3,14.6,22.2,0.0,0.0,16.4,33.5,108,21.88,890.9,896.4,28,88
2020-03-09,29.8,17.1,22.9,0.0,0.0,10.5,27.4,126,24.83,888.4,894.4,28,73
2020-03-10,28.9,16.8,23.1,0.0,0.0,19.0,40.0,37,22.86,887.3,893.0,31,74
2020-03-11,30.1,17.4,23.7,0.0,0.0,14.7,31.7,158,23.27,887.3,892.3,33,73
2020-03-12,30.0,18.9,23.7,0.1,0.1,12.6,31.7,74,20.39,889.9,894.2,38,81
2020-03-13,27.6,16.5,20.5,0.1,0.1,12.2,33.5,110,16.02,890.4,894.4,43,92
2020-03-14,28.8,15.0,22.0,0.0,0.0,13.0,31.7,191,23.41,889.2,893.8,32,93
2020-03-15,30.7,16.1,23.1,0.0,0.0,13.7,33.8,176,25.16,887.8,893.2,24,78
2020-03-16,28.3,16.8,22.8,0.1,0.1,20.5,42.8,99,20.99,888.4,894.1,37,88
2020-03-17,26.3,16.9,19.8,3.4,3.4,16.5,42.5,74,17.15,892.8,896.0,42,98
2020-03-18,24.2,16.0,19.9,1.4,1.4,11.3,30.2,292,16.48,890.0,894.1,52,98
2020-03-19,29.5,14.8,21.8,0.0,0.0,11.6,23.0,178,21.59,888.3,893.9,31,93
2020-03-20,28.6,16.2,22.5,0.0,0.0,11.8,32.0,295,23.8,889.7,894.7,37,89
2020-03-21,29.6,16.6,22.5,0.2,0.2,13.1,48.2,172,21.83,889.3,894.9,34,89
2020-03-22,23.3,16.9,19.6,5.6,5.6,11.0,22.0,148,13.85,892.2,896.4,57,98
2020-03-23,26.3,16.0,20.5,0.0,0.0,11.2,27.7,197,18.81,892.0,896.8,46,87
2020-03-24,27.7,15.8,21.3,0.0,0.0,12.0,29.2,195,20.63,889.3,894.9,36,87
2020-03-25,28.4,15.4,21.9,0.0,0.0,12.9,32.8,225,21.42,885.2,891.9,34,91
2020-03-26,29.5,14.7,22.2,0.1,0.1,12.7,32.4,192,18.27,882.3,888.4,34,88
2020-03-27,29.1,15.9,21.0,0.6,0.6,19.9,45.4,82,20.38,886.4,893.5,28,89
2020-03-28,21.8,14.7,18.1,1.0,1.0,15.8,36.4,44,11.6,891.6,896.2,61,94
2020-03-29,25.1,13.2,18.9,0.0,0.0,11.8,31.3,242,17.49,889.6,894.8,46,95
2020-03-30,26.8,16.7,20.9,0.1,0.1,9.9,28.1,86,16.95,889.2,893.9,45,87
2020-03-31,26.5,17.5,21.2,0.0,0.0,10.3,25.6,168,17.45,889.7,893.3,43,79
